ROW\COL,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ
22,1190027101,"=VLOOKUP(A22,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A22,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A22,'Aji Plus'!$A$2:$D$58,4,0)",513,435,441,424,792,426,733,386,798,540,449,473,,"=VLOOKUP(A22,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A22,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A22,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A22,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A22,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A22,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R22/E22,=S22/F22,=T22/G22,=U22/H22,=V22/I22,=W22/J22,=X22/K22,=Y22/L22,=Z22/M22,=AA22/N22,=AB22/O22,=AC22/P22,,"=ROUND(AE22,4)","=ROUND(AF22,4)","=ROUND(AG22,4)","=ROUND(AH22,4)","=ROUND(AI22,4)","=ROUND(AJ22,4)","=ROUND(AK22,4)","=ROUND(AL22,4)","=ROUND(AM22,4)","=ROUND(AN22,4)","=ROUND(AO22,4)","=ROUND(AP22,4)",,"=IFERROR(VLOOKUP(AR22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB22,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC22,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE22:BP22)
23,1190032602,"=VLOOKUP(A23,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A23,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A23,'Aji Plus'!$A$2:$D$58,4,0)",900,450,300,900,550,900,500,1000,500,950,750,450,,"=VLOOKUP(A23,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A23,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A23,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A23,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A23,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A23,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R23/E23,=S23/F23,=T23/G23,=U23/H23,=V23/I23,=W23/J23,=X23/K23,=Y23/L23,=Z23/M23,=AA23/N23,=AB23/O23,=AC23/P23,,"=ROUND(AE23,4)","=ROUND(AF23,4)","=ROUND(AG23,4)","=ROUND(AH23,4)","=ROUND(AI23,4)","=ROUND(AJ23,4)","=ROUND(AK23,4)","=ROUND(AL23,4)","=ROUND(AM23,4)","=ROUND(AN23,4)","=ROUND(AO23,4)","=ROUND(AP23,4)",,"=IFERROR(VLOOKUP(AR23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB23,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC23,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE23:BP23)
24,1190032701,"=VLOOKUP(A24,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A24,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A24,'Aji Plus'!$A$2:$D$58,4,0)",149,333,107,93,103,81,165,89,69,194,93,136,,"=VLOOKUP(A24,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A24,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A24,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A24,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A24,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A24,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R24/E24,=S24/F24,=T24/G24,=U24/H24,=V24/I24,=W24/J24,=X24/K24,=Y24/L24,=Z24/M24,=AA24/N24,=AB24/O24,=AC24/P24,,"=ROUND(AE24,4)","=ROUND(AF24,4)","=ROUND(AG24,4)","=ROUND(AH24,4)","=ROUND(AI24,4)","=ROUND(AJ24,4)","=ROUND(AK24,4)","=ROUND(AL24,4)","=ROUND(AM24,4)","=ROUND(AN24,4)","=ROUND(AO24,4)","=ROUND(AP24,4)",,"=IFERROR(VLOOKUP(AR24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB24,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC24,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE24:BP24)
25,1190032801,"=VLOOKUP(A25,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A25,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A25,'Aji Plus'!$A$2:$D$58,4,0)",624.7886688000001,757.7807039999997,488.7533375999998,648.2220479999995,643.3527743999995,495.75291839999977,658.2649247999994,460.4506847999999,622.3540319999994,752.3027711999995,644.2657631999999,664.0471871999995,,"=VLOOKUP(A25,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A25,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A25,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A25,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A25,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A25,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R25/E25,=S25/F25,=T25/G25,=U25/H25,=V25/I25,=W25/J25,=X25/K25,=Y25/L25,=Z25/M25,=AA25/N25,=AB25/O25,=AC25/P25,,"=ROUND(AE25,4)","=ROUND(AF25,4)","=ROUND(AG25,4)","=ROUND(AH25,4)","=ROUND(AI25,4)","=ROUND(AJ25,4)","=ROUND(AK25,4)","=ROUND(AL25,4)","=ROUND(AM25,4)","=ROUND(AN25,4)","=ROUND(AO25,4)","=ROUND(AP25,4)",,"=IFERROR(VLOOKUP(AR25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB25,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC25,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE25:BP25)
26,1190032901,"=VLOOKUP(A26,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A26,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A26,'Aji Plus'!$A$2:$D$58,4,0)",156.08377029952598,244.8653644148528,132.69507077452062,158.47037229187356,341.28408490569154,194.2694021770859,102.1465652724727,246.77464600873077,114.07957523421017,280.1870739015956,218.1354221005608,115.98885682808813,,"=VLOOKUP(A26,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A26,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A26,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A26,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A26,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A26,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R26/E26,=S26/F26,=T26/G26,=U26/H26,=V26/I26,=W26/J26,=X26/K26,=Y26/L26,=Z26/M26,=AA26/N26,=AB26/O26,=AC26/P26,,"=ROUND(AE26,4)","=ROUND(AF26,4)","=ROUND(AG26,4)","=ROUND(AH26,4)","=ROUND(AI26,4)","=ROUND(AJ26,4)","=ROUND(AK26,4)","=ROUND(AL26,4)","=ROUND(AM26,4)","=ROUND(AN26,4)","=ROUND(AO26,4)","=ROUND(AP26,4)",,"=IFERROR(VLOOKUP(AR26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB26,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC26,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE26:BP26)
27,1190032902,"=VLOOKUP(A27,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A27,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A27,'Aji Plus'!$A$2:$D$58,4,0)",67.37864427906149,105.70411166715155,57.28215018219908,68.40889877874136,147.32639345421708,83.86271627393894,44.094892586297135,106.52831526689542,49.24616508469634,120.95187826241315,94.1652612707373,50.07036868444019,,"=VLOOKUP(A27,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A27,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A27,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A27,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A27,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A27,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R27/E27,=S27/F27,=T27/G27,=U27/H27,=V27/I27,=W27/J27,=X27/K27,=Y27/L27,=Z27/M27,=AA27/N27,=AB27/O27,=AC27/P27,,"=ROUND(AE27,4)","=ROUND(AF27,4)","=ROUND(AG27,4)","=ROUND(AH27,4)","=ROUND(AI27,4)","=ROUND(AJ27,4)","=ROUND(AK27,4)","=ROUND(AL27,4)","=ROUND(AM27,4)","=ROUND(AN27,4)","=ROUND(AO27,4)","=ROUND(AP27,4)",,"=IFERROR(VLOOKUP(AR27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB27,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC27,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE27:BP27)
28,1190033001,"=VLOOKUP(A28,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A28,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A28,'Aji Plus'!$A$2:$D$58,4,0)",233.29717235445892,183.3049211356463,182.8984800688267,195.09171207341515,246.7097275595062,271.09619156868314,269.4704273014047,194.2788299397759,216.6330886148547,230.04564381990204,381.24172067679876,230.45208488672165,,"=VLOOKUP(A28,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A28,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A28,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A28,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A28,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A28,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R28/E28,=S28/F28,=T28/G28,=U28/H28,=V28/I28,=W28/J28,=X28/K28,=Y28/L28,=Z28/M28,=AA28/N28,=AB28/O28,=AC28/P28,,"=ROUND(AE28,4)","=ROUND(AF28,4)","=ROUND(AG28,4)","=ROUND(AH28,4)","=ROUND(AI28,4)","=ROUND(AJ28,4)","=ROUND(AK28,4)","=ROUND(AL28,4)","=ROUND(AM28,4)","=ROUND(AN28,4)","=ROUND(AO28,4)","=ROUND(AP28,4)",,"=IFERROR(VLOOKUP(AR28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB28,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC28,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE28:BP28)
29,1190033002,"=VLOOKUP(A29,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A29,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A29,'Aji Plus'!$A$2:$D$58,4,0)",145.30907943791192,114.17141955835939,113.91826785202157,121.51281904215632,153.66308574706017,168.85218812732973,167.83958130197846,121.00651562948067,134.92985947806108,143.28386578720935,237.4563005448805,143.53701749354718,,"=VLOOKUP(A29,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A29,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A29,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A29,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A29,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A29,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R29/E29,=S29/F29,=T29/G29,=U29/H29,=V29/I29,=W29/J29,=X29/K29,=Y29/L29,=Z29/M29,=AA29/N29,=AB29/O29,=AC29/P29,,"=ROUND(AE29,4)","=ROUND(AF29,4)","=ROUND(AG29,4)","=ROUND(AH29,4)","=ROUND(AI29,4)","=ROUND(AJ29,4)","=ROUND(AK29,4)","=ROUND(AL29,4)","=ROUND(AM29,4)","=ROUND(AN29,4)","=ROUND(AO29,4)","=ROUND(AP29,4)",,"=IFERROR(VLOOKUP(AR29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB29,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC29,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE29:BP29)
30,1190033101,"=VLOOKUP(A30,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A30,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A30,'Aji Plus'!$A$2:$D$58,4,0)",93.48690364826948,93.03086997193643,43.32319925163707,39.67492984097289,169.64452759588409,60.65247895229189,125.40926099158096,71.14125350795139,110.36014967259125,63.388681010290036,80.71796071094485,24.169784845650153,,"=VLOOKUP(A30,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A30,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A30,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A30,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A30,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A30,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R30/E30,=S30/F30,=T30/G30,=U30/H30,=V30/I30,=W30/J30,=X30/K30,=Y30/L30,=Z30/M30,=AA30/N30,=AB30/O30,=AC30/P30,,"=ROUND(AE30,4)","=ROUND(AF30,4)","=ROUND(AG30,4)","=ROUND(AH30,4)","=ROUND(AI30,4)","=ROUND(AJ30,4)","=ROUND(AK30,4)","=ROUND(AL30,4)","=ROUND(AM30,4)","=ROUND(AN30,4)","=ROUND(AO30,4)","=ROUND(AP30,4)",,"=IFERROR(VLOOKUP(AR30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB30,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC30,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE30:BP30)
31,1190033102,"=VLOOKUP(A31,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A31,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A31,'Aji Plus'!$A$2:$D$58,4,0)",50.339101964452794,50.09354536950423,23.327876520112266,21.36342376052386,91.34705332086065,32.65902712815716,67.52806361085129,38.30682881197382,59.42469597754913,34.132366697848475,43.463517305893376,13.014499532273158,,"=VLOOKUP(A31,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A31,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A31,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A31,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A31,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A31,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R31/E31,=S31/F31,=T31/G31,=U31/H31,=V31/I31,=W31/J31,=X31/K31,=Y31/L31,=Z31/M31,=AA31/N31,=AB31/O31,=AC31/P31,,"=ROUND(AE31,4)","=ROUND(AF31,4)","=ROUND(AG31,4)","=ROUND(AH31,4)","=ROUND(AI31,4)","=ROUND(AJ31,4)","=ROUND(AK31,4)","=ROUND(AL31,4)","=ROUND(AM31,4)","=ROUND(AN31,4)","=ROUND(AO31,4)","=ROUND(AP31,4)",,"=IFERROR(VLOOKUP(AR31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB31,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC31,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE31:BP31)
32,1190033201,"=VLOOKUP(A32,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A32,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A32,'Aji Plus'!$A$2:$D$58,4,0)",130.80467235710884,164.4131104898762,153.99922825155397,96.24951765722125,174.0380622555984,189.34331342404178,145.16320695843197,182.7162974542003,131.1202445461489,208.59321695548593,190.1322438966419,102.24538924898252,,"=VLOOKUP(A32,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A32,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A32,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A32,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A32,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A32,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R32/E32,=S32/F32,=T32/G32,=U32/H32,=V32/I32,=W32/J32,=X32/K32,=Y32/L32,=Z32/M32,=AA32/N32,=AB32/O32,=AC32/P32,,"=ROUND(AE32,4)","=ROUND(AF32,4)","=ROUND(AG32,4)","=ROUND(AH32,4)","=ROUND(AI32,4)","=ROUND(AJ32,4)","=ROUND(AK32,4)","=ROUND(AL32,4)","=ROUND(AM32,4)","=ROUND(AN32,4)","=ROUND(AO32,4)","=ROUND(AP32,4)",,"=IFERROR(VLOOKUP(AR32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB32,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC32,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE32:BP32)
