ROW\COL,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP
22,1190027101,"=VLOOKUP(A22,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A22,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A22,'Aji Plus'!$A$2:$D$58,4,0)",538,496,572,436,506,477,418,488,443,560,502,454,,"=VLOOKUP(A22,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A22,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A22,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A22,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A22,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A22,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R22/E22,=S22/F22,=T22/G22,=U22/H22,=V22/I22,=W22/J22,=X22/K22,=Y22/L22,=Z22/M22,=AA22/N22,=AB22/O22,=AC22/P22,,"=ROUND(AE22,4)","=ROUND(AF22,4)","=ROUND(AG22,4)","=ROUND(AH22,4)","=ROUND(AI22,4)","=ROUND(AJ22,4)","=ROUND(AK22,4)","=ROUND(AL22,4)","=ROUND(AM22,4)","=ROUND(AN22,4)","=ROUND(AO22,4)","=ROUND(AP22,4)",,"=IFERROR(VLOOKUP(AR22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB22,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC22,'Top WS'!$A$19:$E$28,5),0)"
23,1190032602,"=VLOOKUP(A23,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A23,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A23,'Aji Plus'!$A$2:$D$58,4,0)",2100,2500,2500,2100,2200,2200,2000,3300,1800,2800,2500,2100,,"=VLOOKUP(A23,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A23,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A23,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A23,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A23,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A23,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R23/E23,=S23/F23,=T23/G23,=U23/H23,=V23/I23,=W23/J23,=X23/K23,=Y23/L23,=Z23/M23,=AA23/N23,=AB23/O23,=AC23/P23,,"=ROUND(AE23,4)","=ROUND(AF23,4)","=ROUND(AG23,4)","=ROUND(AH23,4)","=ROUND(AI23,4)","=ROUND(AJ23,4)","=ROUND(AK23,4)","=ROUND(AL23,4)","=ROUND(AM23,4)","=ROUND(AN23,4)","=ROUND(AO23,4)","=ROUND(AP23,4)",,"=IFERROR(VLOOKUP(AR23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB23,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC23,'Top WS'!$A$19:$E$28,5),0)"
24,1190032701,"=VLOOKUP(A24,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A24,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A24,'Aji Plus'!$A$2:$D$58,4,0)",71,143,360,240,300,256,270,300,200,269,226,220,,"=VLOOKUP(A24,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A24,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A24,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A24,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A24,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A24,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R24/E24,=S24/F24,=T24/G24,=U24/H24,=V24/I24,=W24/J24,=X24/K24,=Y24/L24,=Z24/M24,=AA24/N24,=AB24/O24,=AC24/P24,,"=ROUND(AE24,4)","=ROUND(AF24,4)","=ROUND(AG24,4)","=ROUND(AH24,4)","=ROUND(AI24,4)","=ROUND(AJ24,4)","=ROUND(AK24,4)","=ROUND(AL24,4)","=ROUND(AM24,4)","=ROUND(AN24,4)","=ROUND(AO24,4)","=ROUND(AP24,4)",,"=IFERROR(VLOOKUP(AR24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB24,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC24,'Top WS'!$A$19:$E$28,5),0)"
25,1190032801,"=VLOOKUP(A25,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A25,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A25,'Aji Plus'!$A$2:$D$58,4,0)",593.0383999999999,496.87415599999997,440.33101199999993,397.7447200000001,350.71063999999984,420.0859080000005,446.87488400000007,480.6167240000001,502.6767300000006,732.4535480000011,1936.1170040000004,3182.520123999997,,"=VLOOKUP(A25,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A25,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A25,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A25,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A25,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A25,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R25/E25,=S25/F25,=T25/G25,=U25/H25,=V25/I25,=W25/J25,=X25/K25,=Y25/L25,=Z25/M25,=AA25/N25,=AB25/O25,=AC25/P25,,"=ROUND(AE25,4)","=ROUND(AF25,4)","=ROUND(AG25,4)","=ROUND(AH25,4)","=ROUND(AI25,4)","=ROUND(AJ25,4)","=ROUND(AK25,4)","=ROUND(AL25,4)","=ROUND(AM25,4)","=ROUND(AN25,4)","=ROUND(AO25,4)","=ROUND(AP25,4)",,"=IFERROR(VLOOKUP(AR25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB25,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC25,'Top WS'!$A$19:$E$28,5),0)"
26,1190032901,"=VLOOKUP(A26,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A26,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A26,'Aji Plus'!$A$2:$D$58,4,0)",114.84729164807446,125.7297219945723,114.1266216022877,125.03422068574248,116.94466033989617,128.38076381755786,117.3552155910345,123.00333028827446,106.03807738557322,132.64944413648496,122.93212308526888,105.21008847071214,,"=VLOOKUP(A26,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A26,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A26,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A26,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A26,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A26,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R26/E26,=S26/F26,=T26/G26,=U26/H26,=V26/I26,=W26/J26,=X26/K26,=Y26/L26,=Z26/M26,=AA26/N26,=AB26/O26,=AC26/P26,,"=ROUND(AE26,4)","=ROUND(AF26,4)","=ROUND(AG26,4)","=ROUND(AH26,4)","=ROUND(AI26,4)","=ROUND(AJ26,4)","=ROUND(AK26,4)","=ROUND(AL26,4)","=ROUND(AM26,4)","=ROUND(AN26,4)","=ROUND(AO26,4)","=ROUND(AP26,4)",,"=IFERROR(VLOOKUP(AR26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB26,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC26,'Top WS'!$A$19:$E$28,5),0)"
27,1190032902,"=VLOOKUP(A27,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A27,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A27,'Aji Plus'!$A$2:$D$58,4,0)",359.85700332208836,393.95548938262345,357.5988903153359,391.7762388908572,366.4287979327381,402.2621368656519,367.715212094123,385.41274418392123,332.25463324757345,415.6374153390545,385.1896269443171,329.6602524362362,,"=VLOOKUP(A27,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A27,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A27,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A27,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A27,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A27,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R27/E27,=S27/F27,=T27/G27,=U27/H27,=V27/I27,=W27/J27,=X27/K27,=Y27/L27,=Z27/M27,=AA27/N27,=AB27/O27,=AC27/P27,,"=ROUND(AE27,4)","=ROUND(AF27,4)","=ROUND(AG27,4)","=ROUND(AH27,4)","=ROUND(AI27,4)","=ROUND(AJ27,4)","=ROUND(AK27,4)","=ROUND(AL27,4)","=ROUND(AM27,4)","=ROUND(AN27,4)","=ROUND(AO27,4)","=ROUND(AP27,4)",,"=IFERROR(VLOOKUP(AR27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB27,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC27,'Top WS'!$A$19:$E$28,5),0)"
28,1190033001,"=VLOOKUP(A28,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A28,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A28,'Aji Plus'!$A$2:$D$58,4,0)",240.42272594734123,286.32653311074034,321.88363592354904,261.14721069921563,310.8866223158138,378.99197989210353,218.1495862274856,321.4019571378039,277.6825294272733,297.6869267959066,352.8281376905185,267.59215483224745,,"=VLOOKUP(A28,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A28,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A28,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A28,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A28,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A28,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R28/E28,=S28/F28,=T28/G28,=U28/H28,=V28/I28,=W28/J28,=X28/K28,=Y28/L28,=Z28/M28,=AA28/N28,=AB28/O28,=AC28/P28,,"=ROUND(AE28,4)","=ROUND(AF28,4)","=ROUND(AG28,4)","=ROUND(AH28,4)","=ROUND(AI28,4)","=ROUND(AJ28,4)","=ROUND(AK28,4)","=ROUND(AL28,4)","=ROUND(AM28,4)","=ROUND(AN28,4)","=ROUND(AO28,4)","=ROUND(AP28,4)",,"=IFERROR(VLOOKUP(AR28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB28,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC28,'Top WS'!$A$19:$E$28,5),0)"
29,1190033002,"=VLOOKUP(A29,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A29,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A29,'Aji Plus'!$A$2:$D$58,4,0)",240.42272594734123,286.32653311074034,321.88363592354904,261.14721069921563,310.8866223158138,378.99197989210353,218.1495862274856,321.4019571378039,277.6825294272733,297.6869267959066,352.8281376905185,267.59215483224745,,"=VLOOKUP(A29,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A29,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A29,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A29,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A29,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A29,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R29/E29,=S29/F29,=T29/G29,=U29/H29,=V29/I29,=W29/J29,=X29/K29,=Y29/L29,=Z29/M29,=AA29/N29,=AB29/O29,=AC29/P29,,"=ROUND(AE29,4)","=ROUND(AF29,4)","=ROUND(AG29,4)","=ROUND(AH29,4)","=ROUND(AI29,4)","=ROUND(AJ29,4)","=ROUND(AK29,4)","=ROUND(AL29,4)","=ROUND(AM29,4)","=ROUND(AN29,4)","=ROUND(AO29,4)","=ROUND(AP29,4)",,"=IFERROR(VLOOKUP(AR29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB29,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC29,'Top WS'!$A$19:$E$28,5),0)"
30,1190033101,"=VLOOKUP(A30,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A30,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A30,'Aji Plus'!$A$2:$D$58,4,0)",399.73513106520056,369.4616611746498,329.5673108829781,385.47939146777145,394.41257960223646,408.0870855304157,379.67853313115404,384.18851790633397,297.47862099803206,418.20191364177583,333.21099512855596,260.49825947090227,,"=VLOOKUP(A30,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A30,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A30,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A30,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A30,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A30,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R30/E30,=S30/F30,=T30/G30,=U30/H30,=V30/I30,=W30/J30,=X30/K30,=Y30/L30,=Z30/M30,=AA30/N30,=AB30/O30,=AC30/P30,,"=ROUND(AE30,4)","=ROUND(AF30,4)","=ROUND(AG30,4)","=ROUND(AH30,4)","=ROUND(AI30,4)","=ROUND(AJ30,4)","=ROUND(AK30,4)","=ROUND(AL30,4)","=ROUND(AM30,4)","=ROUND(AN30,4)","=ROUND(AO30,4)","=ROUND(AP30,4)",,"=IFERROR(VLOOKUP(AR30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB30,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC30,'Top WS'!$A$19:$E$28,5),0)"
31,1190033102,"=VLOOKUP(A31,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A31,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A31,'Aji Plus'!$A$2:$D$58,4,0)",399.73513106520056,369.4616611746498,329.5673108829781,385.47939146777145,394.41257960223646,408.0870855304157,379.67853313115404,384.18851790633397,297.47862099803206,418.20191364177583,333.21099512855596,260.49825947090227,,"=VLOOKUP(A31,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A31,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A31,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A31,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A31,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A31,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R31/E31,=S31/F31,=T31/G31,=U31/H31,=V31/I31,=W31/J31,=X31/K31,=Y31/L31,=Z31/M31,=AA31/N31,=AB31/O31,=AC31/P31,,"=ROUND(AE31,4)","=ROUND(AF31,4)","=ROUND(AG31,4)","=ROUND(AH31,4)","=ROUND(AI31,4)","=ROUND(AJ31,4)","=ROUND(AK31,4)","=ROUND(AL31,4)","=ROUND(AM31,4)","=ROUND(AN31,4)","=ROUND(AO31,4)","=ROUND(AP31,4)",,"=IFERROR(VLOOKUP(AR31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB31,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC31,'Top WS'!$A$19:$E$28,5),0)"
32,1190033201,"=VLOOKUP(A32,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A32,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A32,'Aji Plus'!$A$2:$D$58,4,0)",402.48560215051157,372.00382856805334,331.83497586611793,388.13177260172404,397.1264276270225,410.89502419232224,382.29100010224,386.83201688275375,299.52549224343136,421.0794497448156,335.50373133356896,262.29067868744517,,"=VLOOKUP(A32,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A32,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A32,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A32,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A32,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A32,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R32/E32,=S32/F32,=T32/G32,=U32/H32,=V32/I32,=W32/J32,=X32/K32,=Y32/L32,=Z32/M32,=AA32/N32,=AB32/O32,=AC32/P32,,"=ROUND(AE32,4)","=ROUND(AF32,4)","=ROUND(AG32,4)","=ROUND(AH32,4)","=ROUND(AI32,4)","=ROUND(AJ32,4)","=ROUND(AK32,4)","=ROUND(AL32,4)","=ROUND(AM32,4)","=ROUND(AN32,4)","=ROUND(AO32,4)","=ROUND(AP32,4)",,"=IFERROR(VLOOKUP(AR32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB32,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC32,'Top WS'!$A$19:$E$28,5),0)"
