Cell,Formula
B8,"=IF(IF(VLOOKUP(A8,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A8,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A8,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A8,ASTBase!F:P,11,FALSE)))"
C8,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D8,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E8,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F8,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H8,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I8,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J8,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A8,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K8,=
L8,=Period!$A$2
M8,=Period!$B$2
P8,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B8,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L8,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B8,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L8,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q8,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B8),"""")"
R8,"=IF(F8=""Section Manager"",IF(Q8>0,Q8*T_SectAbove!$B$4,0),0)"
S8,"=IF(F8=""Section Manager"",VLOOKUP(A8,ASTBase!F:S,13,FALSE),"""")"
T8,=
U8,"=IF(F8=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A8)*VLOOKUP('1) For HR'!F8,T_SectAbove!A:B,2,FALSE),""""),0)"
V8,"=IF(F8=""Department Manager"",VLOOKUP(A8,ASTBase!F:S,14,FALSE),"""")"
W8,=
X8,"=IF(F8=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A8)*VLOOKUP('1) For HR'!F8,T_SectAbove!A:B,2,FALSE),""""),0)"
B9,"=IF(IF(VLOOKUP(A9,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A9,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A9,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A9,ASTBase!F:P,11,FALSE)))"
C9,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D9,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E9,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F9,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H9,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I9,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J9,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A9,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K9,=
L9,=Period!$A$2
M9,=Period!$B$2
P9,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B9,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L9,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B9,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L9,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q9,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B9),"""")"
R9,"=IF(F9=""Section Manager"",IF(Q9>0,Q9*T_SectAbove!$B$4,0),0)"
S9,"=IF(F9=""Section Manager"",VLOOKUP(A9,ASTBase!F:S,13,FALSE),"""")"
T9,=
U9,"=IF(F9=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A9)*VLOOKUP('1) For HR'!F9,T_SectAbove!A:B,2,FALSE),""""),0)"
V9,"=IF(F9=""Department Manager"",VLOOKUP(A9,ASTBase!F:S,14,FALSE),"""")"
W9,=
X9,"=IF(F9=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A9)*VLOOKUP('1) For HR'!F9,T_SectAbove!A:B,2,FALSE),""""),0)"
B10,"=IF(IF(VLOOKUP(A10,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A10,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A10,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A10,ASTBase!F:P,11,FALSE)))"
C10,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D10,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E10,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F10,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H10,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I10,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J10,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A10,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K10,=
L10,=Period!$A$2
M10,=Period!$B$2
P10,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B10,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L10,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B10,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L10,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q10,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B10),"""")"
R10,"=IF(F10=""Section Manager"",IF(Q10>0,Q10*T_SectAbove!$B$4,0),0)"
S10,"=IF(F10=""Section Manager"",VLOOKUP(A10,ASTBase!F:S,13,FALSE),"""")"
T10,=
U10,"=IF(F10=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A10)*VLOOKUP('1) For HR'!F10,T_SectAbove!A:B,2,FALSE),""""),0)"
V10,"=IF(F10=""Department Manager"",VLOOKUP(A10,ASTBase!F:S,14,FALSE),"""")"
W10,=
X10,"=IF(F10=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A10)*VLOOKUP('1) For HR'!F10,T_SectAbove!A:B,2,FALSE),""""),0)"
B11,"=IF(IF(VLOOKUP(A11,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A11,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A11,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A11,ASTBase!F:P,11,FALSE)))"
C11,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D11,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E11,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F11,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H11,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I11,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J11,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A11,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K11,=
L11,=Period!$A$2
M11,=Period!$B$2
P11,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B11,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L11,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B11,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L11,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q11,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B11),"""")"
R11,"=IF(F11=""Section Manager"",IF(Q11>0,Q11*T_SectAbove!$B$4,0),0)"
S11,"=IF(F11=""Section Manager"",VLOOKUP(A11,ASTBase!F:S,13,FALSE),"""")"
T11,=
U11,"=IF(F11=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A11)*VLOOKUP('1) For HR'!F11,T_SectAbove!A:B,2,FALSE),""""),0)"
V11,"=IF(F11=""Department Manager"",VLOOKUP(A11,ASTBase!F:S,14,FALSE),"""")"
W11,=
X11,"=IF(F11=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A11)*VLOOKUP('1) For HR'!F11,T_SectAbove!A:B,2,FALSE),""""),0)"
B12,"=IF(IF(VLOOKUP(A12,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A12,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A12,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A12,ASTBase!F:P,11,FALSE)))"
C12,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D12,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E12,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F12,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H12,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I12,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J12,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A12,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K12,=
L12,=Period!$A$2
M12,=Period!$B$2
P12,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B12,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L12,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B12,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L12,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q12,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B12),"""")"
R12,"=IF(F12=""Section Manager"",IF(Q12>0,Q12*T_SectAbove!$B$4,0),0)"
S12,"=IF(F12=""Section Manager"",VLOOKUP(A12,ASTBase!F:S,13,FALSE),"""")"
T12,=
U12,"=IF(F12=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A12)*VLOOKUP('1) For HR'!F12,T_SectAbove!A:B,2,FALSE),""""),0)"
V12,"=IF(F12=""Department Manager"",VLOOKUP(A12,ASTBase!F:S,14,FALSE),"""")"
W12,=
X12,"=IF(F12=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A12)*VLOOKUP('1) For HR'!F12,T_SectAbove!A:B,2,FALSE),""""),0)"
B13,"=IF(IF(VLOOKUP(A13,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A13,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A13,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A13,ASTBase!F:P,11,FALSE)))"
C13,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D13,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E13,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F13,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H13,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I13,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J13,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A13,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K13,=
L13,=Period!$A$2
M13,=Period!$B$2
P13,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B13,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L13,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B13,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L13,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q13,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B13),"""")"
R13,"=IF(F13=""Section Manager"",IF(Q13>0,Q13*T_SectAbove!$B$4,0),0)"
S13,"=IF(F13=""Section Manager"",VLOOKUP(A13,ASTBase!F:S,13,FALSE),"""")"
T13,=
U13,"=IF(F13=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A13)*VLOOKUP('1) For HR'!F13,T_SectAbove!A:B,2,FALSE),""""),0)"
V13,"=IF(F13=""Department Manager"",VLOOKUP(A13,ASTBase!F:S,14,FALSE),"""")"
W13,=
X13,"=IF(F13=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A13)*VLOOKUP('1) For HR'!F13,T_SectAbove!A:B,2,FALSE),""""),0)"
B14,"=IF(IF(VLOOKUP(A14,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A14,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A14,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A14,ASTBase!F:P,11,FALSE)))"
C14,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D14,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E14,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F14,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H14,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
